"Series Description","KOREA -- SPOT EXCHANGE RATE, WON/US$ "
"Unit:","Currency:_Per_USD"
"Multiplier:","1"
"Currency:","KRW"
"Unique Identifier: ","H10/H10/RXI_N.B.KO"
"Time Period","RXI_N.B.KO"
2000-10-10,1121.9000
2000-10-11,1124.0000
2000-10-12,1124.0000
2000-10-13,1132.0000
2000-10-16,1130.0000
2000-10-17,1136.0000
2000-10-18,1140.0000
2000-10-19,1140.0000
2000-10-20,1132.0000
2000-10-23,1141.0000
2000-10-24,1138.0000
2000-10-25,1140.0000
2000-10-26,1140.0000
2000-10-27,1138.0000
2000-10-30,1140.0000
2000-10-31,1139.0000
2000-11-01,1138.3000
2000-11-02,1134.8000
2000-11-03,1136.3000
2000-11-06,1135.0000
2000-11-07,1139.0000
2000-11-08,1136.5000
2000-11-09,1132.0000
2000-11-10,1137.0000
2000-11-13,1141.0000
2000-11-14,1139.0000
2000-11-15,1138.7000
2000-11-16,1141.3000
2000-11-17,1144.5000
2000-11-20,1157.0000
2000-11-21,1168.0000
2000-11-22,1179.0000
2000-11-23,ND
2000-11-24,1191.0000
2000-11-27,1189.0000
2000-11-28,1189.0000
2000-11-29,1204.0000
2000-11-30,1217.0000
2000-12-01,1211.0000
2000-12-04,1220.0000
2000-12-05,1204.0000
2000-12-06,1201.0000
2000-12-07,1201.0000
2000-12-08,1192.0000
2000-12-11,1184.0000
2000-12-12,1191.0000
2000-12-13,1192.1000
2000-12-14,1203.0000
2000-12-15,1208.0000
2000-12-18,1206.0000
2000-12-19,1209.0000
2000-12-20,1218.0000
2000-12-21,1228.8000
2000-12-22,1237.3000
2000-12-25,ND
2000-12-26,1252.5000
2000-12-27,1260.0000
2000-12-28,1253.0000
2000-12-29,1267.0000
2001-01-01,ND
2001-01-02,1279.0000
2001-01-03,1271.5000
2001-01-04,1265.0000
2001-01-05,1264.7000
2001-01-08,1263.6000
2001-01-09,1253.3000
2001-01-10,1270.0000
2001-01-11,1279.2000
2001-01-12,1279.2000
2001-01-15,ND
