Series Description,"KOREA -- SPOT EXCHANGE RATE, WON/US$ "
Unit:,Currency:_Per_USD
Multiplier:,1
Currency:,KRW
Unique Identifier: ,H10/H10/RXI_N.M.KO
Time Period,RXI_N.M.KO
Oct-00,1131.099
Nov-00,1156.5429
Dec-00,1216.935
Jan-01,1272.6343
Feb-01,1252.8526
Mar-01,1291.405
Apr-01,1327.7571
May-01,1298.8955
Jun-01,1295.0476
Jul-01,1305.2381
Aug-01,1285.6522
Sep-01,1293.8333
Oct-01,1302.3636
Nov-01,1282.1
Dec-01,1292.285
Jan-02,1316.3381
Feb-02,1320.5526
Mar-02,1322.9048
Apr-02,1318.0909
May-02,1262.2
Jun-02,1219.695
Jul-02,1179.9868
Aug-02,1197.5091
Sep-02,1211.605
Oct-02,1240.1909
Nov-02,1210.2
Dec-02,1206.6143
Jan-03,1176.4524
Feb-03,1190.3684
Mar-03,1237.2
Apr-03,1231.1045
May-03,1201.2333
Jun-03,1194.1429
Jul-03,1181.1636
Aug-03,1178.6
Sep-03,1165.4048
Oct-03,1169.3409
Nov-03,1186.3889
Dec-03,1192.3364
Jan-04,1183.345
Feb-04,1167.5316
Mar-04,1166.287
Apr-04,1152.8636
May-04,1177.875
Jun-04,1159.0227
Jul-04,1158.7
Aug-04,1158.0318
Sep-04,1148.719
Oct-04,1141.57
Nov-04,1086.435
Dec-04,1050.3739
Jan-05,1037.9825
Feb-05,1023.1105
Mar-05,1007.7761
Apr-05,1010.0667
May-05,1001.8386
Jun-05,1012.46
Jul-05,1036.56
Aug-05,1021.6804
Sep-05,1029.8433
Oct-05,1045.8775
Nov-05,1040.76
Dec-05,1022.381
Jan-06,981.435
Feb-06,969.8447
Mar-06,974.7109
Apr-06,952.595
May-06,940.8168
Jun-06,954.45
Jul-06,950.81
Aug-06,960.9522
Sep-06,952.29
Oct-06,952.6429
Nov-06,935.4143
Dec-06,924.98
Jan-07,936.7619
Feb-07,936.9
Mar-07,942.8841
Apr-07,930.6905
May-07,927.5636
Jun-07,927.8667
