"Series Description","KOREA -- SPOT EXCHANGE RATE, WON/US$ "
"Unit:","Currency:_Per_USD"
"Multiplier:","1"
"Currency:","KRW"
"Unique Identifier: ","H10/H10/RXI_N.M.KO"
"Time Period","RXI_N.M.KO"
2010-10,1121.9400
2010-11,1129.6230
2010-12,1145.4833
2011-01,1118.8675
2011-02,1117.4368
2011-03,1119.2674
2011-04,1083.1762
2011-05,1084.3619
2011-06,1080.4523
2011-07,1057.4250
2011-08,1073.8870
2011-09,1121.9095
2011-10,1150.6850
2011-11,1133.4775
2011-12,1148.1262
2012-01,1140.3275
2012-02,1122.6900
2012-03,1126.1700
2012-04,1135.0238
2012-05,1156.6914
2012-06,1163.3886
2012-07,1142.2781
2012-08,1131.7457
2012-09,1122.9911
2012-10,1105.3823
2012-11,1086.9525
2012-12,1075.2225
2013-01,1066.5205
2013-02,1087.3084
2013-03,1102.8710
2013-04,1120.8977
2013-05,1111.4945
2013-06,1135.0085
2013-07,1125.0300
2013-08,1115.9418
2013-09,1082.3115
2013-10,1065.8573
2013-11,1061.5637
2013-12,1055.6348
2014-01,1067.1267
2014-02,1071.3063
2014-03,1070.4910
2014-04,1042.6350
2014-05,1024.7867
2014-06,1018.7443
2014-07,1021.0341
2014-08,1024.5500
2014-09,1035.8914
2014-10,1060.3359
2014-11,1097.8728
2014-12,1102.6224
2015-01,1088.1300
2015-02,1101.4605
2015-03,1112.9005
2015-04,1084.6709
2015-05,1092.6365
2015-06,1112.8832
2015-07,1146.5468
2015-08,1178.1438
2015-09,1184.3300
2015-10,1143.1990
2015-11,1153.4721
2015-12,1169.9464
2016-01,1203.3179
2016-02,1216.2285
2016-03,1181.5730
2016-04,1145.7967
2016-05,1173.7905
2016-06,1165.2023
2016-07,1140.8650
2016-08,1110.0183
2016-09,1108.3638
2016-10,1128.1660
2016-11,1162.7080
2016-12,1183.0700
2017-01,1179.1074
2017-02,1140.4874
2017-03,1133.8617
2017-04,1134.1755
2017-05,1125.1359
2017-06,1130.8464
2017-07,1131.7460
2017-08,1130.2700
2017-09,1131.5990
2017-10,1130.8838
2017-11,1099.7945
2017-12,1082.9020
2018-01,1065.6410
2018-02,1078.4747
2018-03,1069.9418
2018-04,1068.0452
2018-05,1076.6595
2018-06,1094.3552
2018-07,1122.2029
2018-08,1120.4270
2018-09,1119.8200
2018-10,1131.6150
2018-11,1125.3450
2018-12,1122.4244
2019-01,1120.3300
2019-02,1121.8333
2019-03,1131.6005
2019-04,1142.1650
2019-05,1182.9527
2019-06,1173.7845
2019-07,1177.2345
2019-08,1210.3782
2019-09,1194.1145
2019-10,1183.4473
2019-11,1167.2989
2019-12,1174.7052
2020-01,1167.4624
2020-02,1195.3358
2020-03,1218.1945
2020-04,1223.1309
2020-05,1228.1340
2020-06,1206.9459
2020-07,1198.6186
2020-08,1186.8562
2020-09,1176.8619
