Date,Open,High,Low,Close,Adj Close,Volume
2015-11-09,1154.939941,1161.599976,1151.650024,1150.780029,1150.780029,0
2015-11-10,1156.900024,1161.560059,1154.630005,1157.109985,1157.109985,0
2015-11-11,1157.500000,1157.500000,1151.250000,1157.060059,1157.060059,0
2015-11-12,1153.839966,1161.750000,1149.300049,1153.660034,1153.660034,0
2015-11-13,1158.430054,1170.609985,1155.900024,1157.260010,1157.260010,0
2015-11-16,1168.339966,1174.130005,1165.400024,1168.339966,1168.339966,0
2015-11-17,1167.430054,1171.880005,1165.869995,1167.089966,1167.089966,0
2015-11-18,1170.280029,1174.959961,1164.800049,1168.500000,1168.500000,0
2015-11-19,1165.680054,1167.219971,1156.180054,1164.459961,1164.459961,0
2015-11-20,1156.329956,1159.530029,1149.349976,1153.689941,1153.689941,0
2015-11-23,1155.780029,1160.780029,1155.329956,1152.619995,1152.619995,0
2015-11-24,1158.949951,1159.050049,1149.760010,1157.089966,1157.089966,0
2015-11-25,1147.280029,1147.569946,1137.949951,1145.000000,1145.000000,0
2015-11-26,1142.829956,1149.859985,1133.790039,1143.050049,1143.050049,0
2015-11-27,1148.829956,1155.859985,1145.900024,1146.859985,1146.859985,0
2015-11-30,1158.729980,1160.780029,1154.000000,1154.829956,1154.829956,0
2015-12-01,1160.150024,1161.430054,1153.920044,1158.239990,1158.239990,0
2015-12-02,1151.900024,1166.599976,1077.349976,1153.900024,1153.900024,0
2015-12-03,1164.500000,1170.130005,1158.319946,1160.760010,1160.760010,0
2015-12-04,1155.349976,1167.400024,1153.500000,1152.270020,1152.270020,0
2015-12-07,1165.229980,1173.390015,1161.640015,1161.640015,1161.640015,0
2015-12-08,1172.750000,1184.199951,1170.150024,1174.410034,1174.410034,0
2015-12-09,1178.000000,1184.050049,1174.449951,1178.589966,1178.589966,0
2015-12-10,1177.400024,1181.739990,1168.439941,1179.719971,1179.719971,0
2015-12-11,1176.800049,1191.119995,1175.449951,1177.290039,1177.290039,0
2015-12-14,1185.579956,1189.750000,1181.650024,1185.579956,1185.579956,0
2015-12-15,1181.699951,1184.479980,1173.540039,1183.650024,1183.650024,0
2015-12-16,1175.680054,1181.030029,1152.949951,1172.739990,1172.739990,0
2015-12-17,1174.380005,1188.020020,1172.250000,1170.050049,1170.050049,0
2015-12-18,1186.229980,1187.800049,1177.969971,1183.060059,1183.060059,0
2015-12-21,1180.430054,1180.430054,1172.650024,1180.430054,1180.430054,0
2015-12-22,1173.650024,1178.430054,1167.339966,1173.609985,1173.609985,0
2015-12-23,1171.150024,1178.199951,1168.300049,1169.109985,1169.109985,0
2015-12-24,1174.300049,1175.150024,1165.969971,1172.160034,1172.160034,0
