Date, Open, High, Low, Close
12/30/20, 381.21, 390.04, 379.14, 389.29
12/29/20, 380.34, 382.31, 377.04, 381.27
12/28/20, 381.51, 383.84, 378.44, 379.93
12/24/20, 371.67, 380.29, 371.67, 379.18
12/23/20, 367.02, 371.93, 364.72, 371.32
12/22/20, 371.08, 371.91, 366.43, 366.43
12/21/20, 371.51, 372.44, 368.05, 372.18
12/18/20, 372.02, 373.37, 370.50, 371.55
12/17/20, 372.12, 372.60, 368.07, 372.00
12/16/20, 371.86, 374.53, 371.03, 372.53
12/15/20, 371.75, 372.64, 367.70, 370.88
12/14/20, 372.14, 374.72, 370.50, 371.56
12/11/20, 370.45, 374.30, 370.39, 372.24
12/10/20, 370.74, 372.68, 365.76, 369.37
12/09/20, 363.77, 371.64, 363.77, 371.47
12/08/20, 369.73, 370.11, 363.41, 363.45
12/07/20, 368.59, 371.51, 365.32, 369.86
12/04/20, 363.28, 369.67, 363.23, 367.63
12/03/20, 360.36, 361.66, 358.45, 361.66
12/02/20, 354.33, 359.15, 354.00, 358.66
12/01/20, 349.37, 353.26, 349.07, 352.40
11/30/20, 354.70, 354.78, 346.05, 346.05
11/27/20, 351.83, 353.19, 350.63, 352.73
11/26/20, 348.66, 352.12, 346.77, 352.12
11/25/20, 353.05, 353.96, 346.17, 348.30
11/24/20, 350.30, 352.55, 348.61, 350.28
11/23/20, 341.51, 348.94, 340.60, 348.46
11/20/20, 339.48, 341.71, 338.59, 340.62
11/19/20, 338.56, 340.42, 337.51, 340.16
11/18/20, 341.07, 341.81, 338.64, 339.96
11/17/20, 340.84, 342.57, 339.06, 339.85
11/16/20, 335.20, 341.15, 335.20, 340.63
11/13/20, 329.09, 333.15, 328.25, 333.03
11/12/20, 330.57, 331.58, 328.46, 329.72
11/11/20, 327.04, 331.46, 327.01, 331.12
11/10/20, 326.33, 327.00, 323.79, 326.13
11/09/20, 325.25, 328.02, 324.51, 325.83
11/06/20, 322.72, 324.28, 320.61, 322.10
11/05/20, 315.74, 321.51, 315.27, 321.51
11/04/20, 314.31, 315.62, 311.37, 313.83
11/03/20, 308.14, 312.35, 308.01, 312.07
11/02/20, 302.67, 306.43, 301.37, 305.95
10/30/20, 308.91, 309.08, 301.58, 301.60
10/29/20, 308.99, 310.56, 306.63, 309.94
10/28/20, 310.66, 313.30, 309.44, 313.17
10/27/20, 311.50, 313.93, 310.55, 311.80
10/26/20, 315.63, 316.78, 313.33, 313.53
10/23/20, 314.98, 315.83, 312.31, 314.79
10/22/20, 313.62, 314.29, 311.55, 313.77
10/21/20, 315.34, 316.61, 314.16, 315.76
10/20/20, 311.02, 314.91, 309.95, 314.71
